

100 HEC-Recognized Medical Universities in Pakistan

Aga Khan University, Karachi
Allama Iqbal Medical College, Lahore
Ayub Medical College, Abbottabad
Bahria University Medical and Dental College, Karachi
Bolan University of Medical and Health Sciences, Quetta
Central Park Medical College, Lahore
Chandka Medical College, Larkana
Dow University of Health Sciences, Karachi
Fatima Jinnah Medical University, Lahore
Foundation University Medical College, Islamabad
Frontier Medical and Dental College, Abbottabad
Gandhara University, Peshawar
Gomal Medical College, D.I. Khan
Gujranwala Medical College, Gujranwala
Hamdard University, Karachi
HBS Medical and Dental College, Islamabad
HITEC Institute of Medical Sciences, Taxila
Independent Medical College, Faisalabad
Islamabad Medical and Dental College, Islamabad
Jinnah Medical and Dental College, Karachi
Khyber Medical College, Peshawar
King Edward Medical University, Lahore
Liaquat University of Medical and Health Sciences, Jamshoro
Liaquat National Hospital and Medical College, Karachi
Mohtarma Benazir Bhutto Shaheed Medical College, Mirpur
Multan Medical and Dental College, Multan
Nishtar Medical University, Multan
Peshawar Medical College, Peshawar
Punjab Medical College, Faisalabad
Quaid-e-Azam Medical College, Bahawalpur
Rashid Latif Medical College, Lahore
Rawalpindi Medical University, Rawalpindi
Rehman Medical College, Peshawar
Services Institute of Medical Sciences, Lahore
Shifa College of Medicine, Islamabad
Shaikh Zayed Medical College, Rahim Yar Khan
Shaheed Zulfiqar Ali Bhutto Medical University, Islamabad
Sheikh Khalifa Bin Zayed Al Nahyan Medical College, Lahore
Sindh Medical College, Karachi
University College of Medicine and Dentistry, Lahore
University of Health Sciences, Lahore
Wah Medical College, Wah Cantt
Women Medical College, Abbottabad
Ziauddin University, Karachi
Baqai Medical University, Karachi
Khyber Medical University, Peshawar
Faisalabad Medical University, Faisalabad
Sharif Medical & Dental College, Lahore
Fatima Jinnah Dental College, Karachi
Swat Medical College, Swat
Pakistan Institute of Medical Sciences (PIMS), Islamabad
Abbottabad International Medical College, Abbottabad
Abbottabad Medical College, Abbottabad
Azad Jammu & Kashmir Medical College, Muzaffarabad
Combined Military Hospital Medical College, Lahore
HBS Medical and Dental College, Islamabad
HITECH Institute of Medical Sciences, Taxila
International Islamic Medical College, Rawalpindi
Islamic International Medical College, Islamabad
Jinnah Sindh Medical University, Karachi
Khyber Girls Medical College, Peshawar
Lahore Medical and Dental College, Lahore
Liaquat National Hospital and Medical College, Karachi
M Islam Medical College, Gujranwala
M. Islam Medical College, Sialkot
Muhammad Medical College, Mirpurkhas
Pak Red Crescent Medical and Dental College, Lahore
